student_id,academic_year_id,class_section_id,roll_no,status,joined_on,left_on,house,school_id,id,created_at,updated_at
200,49,48,1,active,2024-04-01,,,36,298,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
201,49,48,2,active,2024-04-01,,,36,299,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
202,49,48,3,active,2024-04-01,,,36,300,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
203,49,48,4,active,2024-04-01,,,36,301,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
204,49,48,5,active,2024-04-01,,,36,302,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
205,49,48,6,active,2024-04-01,,,36,303,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
206,49,48,7,active,2024-04-01,,,36,304,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
207,49,48,8,active,2024-04-01,,,36,305,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
208,49,48,9,active,2024-04-01,,,36,306,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
209,49,48,10,active,2024-04-01,,,36,307,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
210,49,49,1,active,2024-04-01,,,36,308,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
211,49,49,2,active,2024-04-01,,,36,309,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
212,49,49,3,active,2024-04-01,,,36,310,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
213,49,49,4,active,2024-04-01,,,36,311,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
214,49,49,5,active,2024-04-01,,,36,312,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
215,49,49,6,active,2024-04-01,,,36,313,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
216,49,49,7,active,2024-04-01,,,36,314,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
217,49,49,8,active,2024-04-01,,,36,315,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
218,49,49,9,active,2024-04-01,,,36,316,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
219,49,49,10,active,2024-04-01,,,36,317,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
220,49,50,1,active,2024-04-01,,,36,318,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
221,49,50,2,active,2024-04-01,,,36,319,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
222,49,50,3,active,2024-04-01,,,36,320,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
223,49,50,4,active,2024-04-01,,,36,321,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
224,49,50,5,active,2024-04-01,,,36,322,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
225,49,50,6,active,2024-04-01,,,36,323,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
