user_id,role_id,scope_type,scope_id,school_id,id,created_at,updated_at
399,44,school,,36,236,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
400,44,school,,36,237,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
401,44,school,,36,238,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
402,44,school,,36,239,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
403,44,school,,36,240,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
404,48,school,,36,241,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
405,50,school,,36,242,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
406,52,school,,36,243,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
407,53,school,,36,244,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
408,53,school,,36,245,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
409,53,school,,36,246,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
410,53,school,,36,247,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
411,53,school,,36,248,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
412,53,school,,36,249,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
413,53,school,,36,250,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
414,53,school,,36,251,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
415,53,school,,36,252,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
416,53,school,,36,253,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
417,53,school,,36,254,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
418,53,school,,36,255,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
419,54,self,,36,256,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
420,54,self,,36,257,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
421,54,self,,36,258,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
422,54,self,,36,259,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
423,54,self,,36,260,2026-09-21 13:43:27.486575+05:30,2026-09-21 13:43:27.486575+05:30
