enrolment_id,route_stop_id,direction,start_date,end_date,status,end_reason,school_id,id,created_at,updated_at
298,65,both,2026-04-01,,active,,36,68,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
302,66,both,2026-04-01,,active,,36,69,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
306,67,both,2026-04-01,,active,,36,70,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
308,68,both,2026-04-01,,active,,36,71,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
312,69,both,2026-04-01,,active,,36,72,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
316,70,both,2026-04-01,,active,,36,73,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
318,71,both,2026-04-01,,active,,36,74,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
322,65,both,2026-04-01,,active,,36,75,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
326,66,both,2026-04-01,,active,,36,76,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
328,67,both,2026-04-01,,active,,36,77,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
332,68,both,2026-04-01,,active,,36,78,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
336,69,both,2026-04-01,,active,,36,79,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
338,70,both,2026-04-01,,active,,36,80,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
342,71,both,2026-04-01,,active,,36,81,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
346,65,both,2026-04-01,,active,,36,82,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
348,66,both,2026-04-01,,active,,36,83,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
352,67,both,2026-04-01,,active,,36,84,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
356,68,both,2026-04-01,,active,,36,85,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
358,69,both,2026-04-01,,active,,36,86,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
362,70,both,2026-04-01,,active,,36,87,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
366,71,both,2026-04-01,,active,,36,88,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
368,65,both,2026-04-01,,active,,36,89,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
372,66,both,2026-04-01,,active,,36,90,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
376,67,both,2026-04-01,,active,,36,91,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
378,68,both,2026-04-01,,active,,36,92,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
382,69,both,2026-04-01,,active,,36,93,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
386,70,both,2026-04-01,,active,,36,94,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
388,71,both,2026-04-01,,active,,36,95,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
392,65,both,2026-04-01,,active,,36,96,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
396,66,both,2026-04-01,,active,,36,97,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
