academic_year_id,name,class_name,is_active,school_id,id,created_at,updated_at
49,Class 10 standard,10,True,36,11,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 9 standard,9,True,36,12,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 8 standard,8,True,36,13,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 7 standard,7,True,36,14,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 6 standard,6,True,36,15,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 5 standard,5,True,36,16,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 4 standard,4,True,36,17,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 3 standard,3,True,36,18,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 2 standard,2,True,36,19,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,Class 1 standard,1,True,36,20,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
