class_section_id,subject_id,teacher_id,school_id,id,created_at,updated_at
48,34,45,36,121,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,34,45,36,122,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,34,45,36,123,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,34,45,36,124,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,34,45,36,125,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
48,32,46,36,126,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,32,46,36,127,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,32,46,36,128,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,32,46,36,129,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,32,46,36,130,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
48,33,47,36,131,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,33,47,36,132,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,33,47,36,133,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,33,47,36,134,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,33,47,36,135,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
48,35,51,36,136,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,35,51,36,137,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,35,51,36,138,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,35,51,36,139,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,35,51,36,140,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
48,36,49,36,141,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,36,49,36,142,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,36,49,36,143,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,36,49,36,144,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,36,49,36,145,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
48,40,54,36,146,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,40,54,36,147,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,40,54,36,148,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,40,54,36,149,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,40,54,36,150,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,34,56,36,151,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,34,56,36,152,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,34,56,36,153,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,34,56,36,154,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,34,56,36,155,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,32,55,36,156,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,32,55,36,157,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,32,55,36,158,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,32,55,36,159,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,32,55,36,160,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,33,52,36,161,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,33,52,36,162,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,33,52,36,163,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,33,52,36,164,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,33,52,36,165,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,38,53,36,166,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,38,53,36,167,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,38,53,36,168,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,38,53,36,169,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,38,53,36,170,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,37,50,36,171,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,37,50,36,172,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,37,50,36,173,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,37,50,36,174,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,37,50,36,175,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,39,48,36,176,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,39,48,36,177,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,39,48,36,178,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,39,48,36,179,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,39,48,36,180,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
