code,name,description,is_system,school_id,id,created_at,updated_at
super_admin,Super Admin,,True,36,44,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
principal,Principal,,True,36,45,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admin_officer,Admin Officer,,True,36,46,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
accountant,Accountant,,True,36,47,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
fee_collector,Fee Collector,,True,36,48,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
exam_controller,Exam Controller,,True,36,49,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
receptionist,Receptionist,,True,36,50,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
document_verifier,Document Verifier,,True,36,51,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admission_officer,Admission Officer,,True,36,52,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
teacher,Teacher,,True,36,53,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
student,Student,,True,36,54,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
guardian,Guardian,,True,36,55,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
transport_manager,Transport Manager,,True,36,56,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
auditor,Auditor,,True,36,57,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
