employee_id,effective_from,monthly_gross,is_active,note,school_id,id,created_at,updated_at
45,2026-04-01,42000.00,True,PGT scale,36,31,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
46,2026-04-01,42000.00,True,PGT scale,36,32,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
47,2026-04-01,32000.00,True,TGT scale,36,33,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
48,2026-04-01,42000.00,True,PGT scale,36,34,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
49,2026-04-01,32000.00,True,TGT scale,36,35,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
50,2026-04-01,32000.00,True,TGT scale,36,36,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
51,2026-04-01,42000.00,True,PGT scale,36,37,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
52,2026-04-01,32000.00,True,TGT scale,36,38,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
53,2026-04-01,32000.00,True,TGT scale,36,39,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
54,2026-04-01,32000.00,True,TGT scale,36,40,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
55,2026-04-01,19500.00,True,PRT scale,36,41,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
56,2026-04-01,32000.00,True,TGT scale,36,42,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
57,2026-04-01,28000.00,True,Transport Manager scale,36,43,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
58,2026-04-01,16000.00,True,Driver scale,36,44,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
59,2026-04-01,16000.00,True,Driver scale,36,45,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
60,2026-04-01,11000.00,True,Bus Attendant scale,36,46,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
