payment_id,invoice_line_id,amount,school_id,id,created_at,updated_at
207,9651,2240.00,36,541,2026-09-21 13:43:22.177303+05:30,2026-09-21 13:43:22.177303+05:30
207,9652,560.00,36,542,2026-09-21 13:43:22.177303+05:30,2026-09-21 13:43:22.177303+05:30
207,9653,800.00,36,543,2026-09-21 13:43:22.177303+05:30,2026-09-21 13:43:22.177303+05:30
208,10341,1800.00,36,544,2026-09-21 13:43:22.259178+05:30,2026-09-21 13:43:22.259178+05:30
208,9881,2240.00,36,545,2026-09-21 13:43:22.259178+05:30,2026-09-21 13:43:22.259178+05:30
208,9882,560.00,36,546,2026-09-21 13:43:22.259178+05:30,2026-09-21 13:43:22.259178+05:30
208,9883,800.00,36,547,2026-09-21 13:43:22.259178+05:30,2026-09-21 13:43:22.259178+05:30
209,9654,2016.00,36,548,2026-09-21 13:43:22.293263+05:30,2026-09-21 13:43:22.293263+05:30
209,9655,504.00,36,549,2026-09-21 13:43:22.293263+05:30,2026-09-21 13:43:22.293263+05:30
210,10344,1260.00,36,550,2026-09-21 13:43:22.347259+05:30,2026-09-21 13:43:22.347259+05:30
210,9884,2016.00,36,551,2026-09-21 13:43:22.347259+05:30,2026-09-21 13:43:22.347259+05:30
210,9885,504.00,36,552,2026-09-21 13:43:22.347259+05:30,2026-09-21 13:43:22.347259+05:30
211,10345,1260.00,36,553,2026-09-21 13:43:22.379216+05:30,2026-09-21 13:43:22.379216+05:30
211,10114,630.00,36,554,2026-09-21 13:43:22.379216+05:30,2026-09-21 13:43:22.379216+05:30
212,9658,2016.00,36,555,2026-09-21 13:43:22.408397+05:30,2026-09-21 13:43:22.408397+05:30
212,9659,504.00,36,556,2026-09-21 13:43:22.408397+05:30,2026-09-21 13:43:22.408397+05:30
213,10347,1260.00,36,557,2026-09-21 13:43:22.454164+05:30,2026-09-21 13:43:22.454164+05:30
213,9888,2016.00,36,558,2026-09-21 13:43:22.454164+05:30,2026-09-21 13:43:22.454164+05:30
213,9889,504.00,36,559,2026-09-21 13:43:22.454164+05:30,2026-09-21 13:43:22.454164+05:30
214,9660,2240.00,36,560,2026-09-21 13:43:22.481359+05:30,2026-09-21 13:43:22.481359+05:30
214,9661,560.00,36,561,2026-09-21 13:43:22.481359+05:30,2026-09-21 13:43:22.481359+05:30
214,9662,800.00,36,562,2026-09-21 13:43:22.481359+05:30,2026-09-21 13:43:22.481359+05:30
215,10350,1800.00,36,563,2026-09-21 13:43:22.523871+05:30,2026-09-21 13:43:22.523871+05:30
215,9890,2240.00,36,564,2026-09-21 13:43:22.523871+05:30,2026-09-21 13:43:22.523871+05:30
215,9891,560.00,36,565,2026-09-21 13:43:22.523871+05:30,2026-09-21 13:43:22.523871+05:30
215,9892,800.00,36,566,2026-09-21 13:43:22.523871+05:30,2026-09-21 13:43:22.523871+05:30
216,10351,1800.00,36,567,2026-09-21 13:43:22.548628+05:30,2026-09-21 13:43:22.548628+05:30
216,10120,900.00,36,568,2026-09-21 13:43:22.548628+05:30,2026-09-21 13:43:22.548628+05:30
217,9665,2240.00,36,569,2026-09-21 13:43:22.572473+05:30,2026-09-21 13:43:22.572473+05:30
217,9666,560.00,36,570,2026-09-21 13:43:22.572473+05:30,2026-09-21 13:43:22.572473+05:30
218,10353,1400.00,36,571,2026-09-21 13:43:22.612112+05:30,2026-09-21 13:43:22.612112+05:30
218,9895,2240.00,36,572,2026-09-21 13:43:22.612112+05:30,2026-09-21 13:43:22.612112+05:30
218,9896,560.00,36,573,2026-09-21 13:43:22.612112+05:30,2026-09-21 13:43:22.612112+05:30
219,9667,2240.00,36,574,2026-09-21 13:43:22.637748+05:30,2026-09-21 13:43:22.637748+05:30
219,9668,560.00,36,575,2026-09-21 13:43:22.637748+05:30,2026-09-21 13:43:22.637748+05:30
220,10356,1400.00,36,576,2026-09-21 13:43:22.675336+05:30,2026-09-21 13:43:22.675336+05:30
220,9897,2240.00,36,577,2026-09-21 13:43:22.675336+05:30,2026-09-21 13:43:22.675336+05:30
220,9898,560.00,36,578,2026-09-21 13:43:22.675336+05:30,2026-09-21 13:43:22.675336+05:30
221,10357,1400.00,36,579,2026-09-21 13:43:22.699001+05:30,2026-09-21 13:43:22.699001+05:30
221,10127,700.00,36,580,2026-09-21 13:43:22.699001+05:30,2026-09-21 13:43:22.699001+05:30
222,9672,2240.00,36,581,2026-09-21 13:43:22.722163+05:30,2026-09-21 13:43:22.722163+05:30
222,9673,560.00,36,582,2026-09-21 13:43:22.722163+05:30,2026-09-21 13:43:22.722163+05:30
223,10359,1400.00,36,583,2026-09-21 13:43:22.759120+05:30,2026-09-21 13:43:22.759120+05:30
223,9902,2240.00,36,584,2026-09-21 13:43:22.759120+05:30,2026-09-21 13:43:22.759120+05:30
223,9903,560.00,36,585,2026-09-21 13:43:22.759120+05:30,2026-09-21 13:43:22.759120+05:30
224,9674,2112.00,36,586,2026-09-21 13:43:22.783368+05:30,2026-09-21 13:43:22.783368+05:30
224,9675,528.00,36,587,2026-09-21 13:43:22.783368+05:30,2026-09-21 13:43:22.783368+05:30
224,9676,1500.00,36,588,2026-09-21 13:43:22.783368+05:30,2026-09-21 13:43:22.783368+05:30
225,10362,2070.00,36,589,2026-09-21 13:43:22.820077+05:30,2026-09-21 13:43:22.820077+05:30
225,9904,2112.00,36,590,2026-09-21 13:43:22.820077+05:30,2026-09-21 13:43:22.820077+05:30
225,9905,528.00,36,591,2026-09-21 13:43:22.820077+05:30,2026-09-21 13:43:22.820077+05:30
225,9906,1500.00,36,592,2026-09-21 13:43:22.820077+05:30,2026-09-21 13:43:22.820077+05:30
226,9677,2112.00,36,593,2026-09-21 13:43:22.854552+05:30,2026-09-21 13:43:22.854552+05:30
226,9678,528.00,36,594,2026-09-21 13:43:22.854552+05:30,2026-09-21 13:43:22.854552+05:30
227,10365,1320.00,36,595,2026-09-21 13:43:22.917796+05:30,2026-09-21 13:43:22.917796+05:30
227,9907,2112.00,36,596,2026-09-21 13:43:22.917796+05:30,2026-09-21 13:43:22.917796+05:30
227,9908,528.00,36,597,2026-09-21 13:43:22.917796+05:30,2026-09-21 13:43:22.917796+05:30
228,10366,1320.00,36,598,2026-09-21 13:43:22.955376+05:30,2026-09-21 13:43:22.955376+05:30
228,10137,660.00,36,599,2026-09-21 13:43:22.955376+05:30,2026-09-21 13:43:22.955376+05:30
229,9681,2112.00,36,600,2026-09-21 13:43:22.984592+05:30,2026-09-21 13:43:22.984592+05:30
229,9682,528.00,36,601,2026-09-21 13:43:22.984592+05:30,2026-09-21 13:43:22.984592+05:30
230,10368,1320.00,36,602,2026-09-21 13:43:23.025520+05:30,2026-09-21 13:43:23.025520+05:30
230,9911,2112.00,36,603,2026-09-21 13:43:23.025520+05:30,2026-09-21 13:43:23.025520+05:30
230,9912,528.00,36,604,2026-09-21 13:43:23.025520+05:30,2026-09-21 13:43:23.025520+05:30
231,9683,2112.00,36,605,2026-09-21 13:43:23.050046+05:30,2026-09-21 13:43:23.050046+05:30
231,9684,528.00,36,606,2026-09-21 13:43:23.050046+05:30,2026-09-21 13:43:23.050046+05:30
231,9685,1100.00,36,607,2026-09-21 13:43:23.050046+05:30,2026-09-21 13:43:23.050046+05:30
232,10371,1870.00,36,608,2026-09-21 13:43:23.089814+05:30,2026-09-21 13:43:23.089814+05:30
232,9913,2112.00,36,609,2026-09-21 13:43:23.089814+05:30,2026-09-21 13:43:23.089814+05:30
232,9914,528.00,36,610,2026-09-21 13:43:23.089814+05:30,2026-09-21 13:43:23.089814+05:30
232,9915,1100.00,36,611,2026-09-21 13:43:23.089814+05:30,2026-09-21 13:43:23.089814+05:30
233,10372,1870.00,36,612,2026-09-21 13:43:23.114443+05:30,2026-09-21 13:43:23.114443+05:30
233,10143,935.00,36,613,2026-09-21 13:43:23.114443+05:30,2026-09-21 13:43:23.114443+05:30
234,9688,2112.00,36,614,2026-09-21 13:43:23.136514+05:30,2026-09-21 13:43:23.136514+05:30
234,9689,528.00,36,615,2026-09-21 13:43:23.136514+05:30,2026-09-21 13:43:23.136514+05:30
235,10374,1320.00,36,616,2026-09-21 13:43:23.172033+05:30,2026-09-21 13:43:23.172033+05:30
235,9918,2112.00,36,617,2026-09-21 13:43:23.172033+05:30,2026-09-21 13:43:23.172033+05:30
235,9919,528.00,36,618,2026-09-21 13:43:23.172033+05:30,2026-09-21 13:43:23.172033+05:30
236,9690,2112.00,36,619,2026-09-21 13:43:23.199052+05:30,2026-09-21 13:43:23.199052+05:30
236,9691,528.00,36,620,2026-09-21 13:43:23.199052+05:30,2026-09-21 13:43:23.199052+05:30
237,10377,1320.00,36,621,2026-09-21 13:43:23.241091+05:30,2026-09-21 13:43:23.241091+05:30
237,9920,2112.00,36,622,2026-09-21 13:43:23.241091+05:30,2026-09-21 13:43:23.241091+05:30
237,9921,528.00,36,623,2026-09-21 13:43:23.241091+05:30,2026-09-21 13:43:23.241091+05:30
238,10378,1320.00,36,624,2026-09-21 13:43:23.264464+05:30,2026-09-21 13:43:23.264464+05:30
238,10150,660.00,36,625,2026-09-21 13:43:23.264464+05:30,2026-09-21 13:43:23.264464+05:30
239,9695,2112.00,36,626,2026-09-21 13:43:23.286429+05:30,2026-09-21 13:43:23.286429+05:30
239,9696,528.00,36,627,2026-09-21 13:43:23.286429+05:30,2026-09-21 13:43:23.286429+05:30
240,10380,1320.00,36,628,2026-09-21 13:43:23.322830+05:30,2026-09-21 13:43:23.322830+05:30
240,9925,2112.00,36,629,2026-09-21 13:43:23.322830+05:30,2026-09-21 13:43:23.322830+05:30
240,9926,528.00,36,630,2026-09-21 13:43:23.322830+05:30,2026-09-21 13:43:23.322830+05:30
241,9697,1984.00,36,631,2026-09-21 13:43:23.345827+05:30,2026-09-21 13:43:23.345827+05:30
241,9698,496.00,36,632,2026-09-21 13:43:23.345827+05:30,2026-09-21 13:43:23.345827+05:30
241,9699,1500.00,36,633,2026-09-21 13:43:23.345827+05:30,2026-09-21 13:43:23.345827+05:30
242,10383,1990.00,36,634,2026-09-21 13:43:23.381659+05:30,2026-09-21 13:43:23.381659+05:30
242,9927,1984.00,36,635,2026-09-21 13:43:23.381659+05:30,2026-09-21 13:43:23.381659+05:30
242,9928,496.00,36,636,2026-09-21 13:43:23.381659+05:30,2026-09-21 13:43:23.381659+05:30
242,9929,1500.00,36,637,2026-09-21 13:43:23.381659+05:30,2026-09-21 13:43:23.381659+05:30
243,9700,1984.00,36,638,2026-09-21 13:43:23.405891+05:30,2026-09-21 13:43:23.405891+05:30
243,9701,496.00,36,639,2026-09-21 13:43:23.405891+05:30,2026-09-21 13:43:23.405891+05:30
244,10386,1240.00,36,640,2026-09-21 13:43:23.447041+05:30,2026-09-21 13:43:23.447041+05:30
244,9930,1984.00,36,641,2026-09-21 13:43:23.447041+05:30,2026-09-21 13:43:23.447041+05:30
244,9931,496.00,36,642,2026-09-21 13:43:23.447041+05:30,2026-09-21 13:43:23.447041+05:30
245,10387,1240.00,36,643,2026-09-21 13:43:23.476431+05:30,2026-09-21 13:43:23.476431+05:30
245,10160,620.00,36,644,2026-09-21 13:43:23.476431+05:30,2026-09-21 13:43:23.476431+05:30
246,9704,1984.00,36,645,2026-09-21 13:43:23.498156+05:30,2026-09-21 13:43:23.498156+05:30
246,9705,496.00,36,646,2026-09-21 13:43:23.498156+05:30,2026-09-21 13:43:23.498156+05:30
247,10389,1240.00,36,647,2026-09-21 13:43:23.536336+05:30,2026-09-21 13:43:23.536336+05:30
247,9934,1984.00,36,648,2026-09-21 13:43:23.536336+05:30,2026-09-21 13:43:23.536336+05:30
247,9935,496.00,36,649,2026-09-21 13:43:23.536336+05:30,2026-09-21 13:43:23.536336+05:30
248,9706,1984.00,36,650,2026-09-21 13:43:23.561473+05:30,2026-09-21 13:43:23.561473+05:30
248,9707,496.00,36,651,2026-09-21 13:43:23.561473+05:30,2026-09-21 13:43:23.561473+05:30
248,9708,800.00,36,652,2026-09-21 13:43:23.561473+05:30,2026-09-21 13:43:23.561473+05:30
249,10392,1640.00,36,653,2026-09-21 13:43:23.598397+05:30,2026-09-21 13:43:23.598397+05:30
249,9936,1984.00,36,654,2026-09-21 13:43:23.598397+05:30,2026-09-21 13:43:23.598397+05:30
249,9937,496.00,36,655,2026-09-21 13:43:23.598397+05:30,2026-09-21 13:43:23.598397+05:30
249,9938,800.00,36,656,2026-09-21 13:43:23.598397+05:30,2026-09-21 13:43:23.598397+05:30
250,10393,1640.00,36,657,2026-09-21 13:43:23.626136+05:30,2026-09-21 13:43:23.626136+05:30
250,10166,820.00,36,658,2026-09-21 13:43:23.626136+05:30,2026-09-21 13:43:23.626136+05:30
251,9711,1984.00,36,659,2026-09-21 13:43:23.646554+05:30,2026-09-21 13:43:23.646554+05:30
251,9712,496.00,36,660,2026-09-21 13:43:23.646554+05:30,2026-09-21 13:43:23.646554+05:30
252,10395,1240.00,36,661,2026-09-21 13:43:23.684804+05:30,2026-09-21 13:43:23.684804+05:30
252,9941,1984.00,36,662,2026-09-21 13:43:23.684804+05:30,2026-09-21 13:43:23.684804+05:30
252,9942,496.00,36,663,2026-09-21 13:43:23.684804+05:30,2026-09-21 13:43:23.684804+05:30
253,9713,1984.00,36,664,2026-09-21 13:43:23.710313+05:30,2026-09-21 13:43:23.710313+05:30
253,9714,496.00,36,665,2026-09-21 13:43:23.710313+05:30,2026-09-21 13:43:23.710313+05:30
254,10398,1240.00,36,666,2026-09-21 13:43:23.748878+05:30,2026-09-21 13:43:23.748878+05:30
254,9943,1984.00,36,667,2026-09-21 13:43:23.748878+05:30,2026-09-21 13:43:23.748878+05:30
254,9944,496.00,36,668,2026-09-21 13:43:23.748878+05:30,2026-09-21 13:43:23.748878+05:30
255,10399,1240.00,36,669,2026-09-21 13:43:23.774358+05:30,2026-09-21 13:43:23.774358+05:30
255,10173,620.00,36,670,2026-09-21 13:43:23.774358+05:30,2026-09-21 13:43:23.774358+05:30
256,9718,1984.00,36,671,2026-09-21 13:43:23.796257+05:30,2026-09-21 13:43:23.796257+05:30
256,9719,496.00,36,672,2026-09-21 13:43:23.796257+05:30,2026-09-21 13:43:23.796257+05:30
257,10401,1240.00,36,673,2026-09-21 13:43:23.832438+05:30,2026-09-21 13:43:23.832438+05:30
257,9948,1984.00,36,674,2026-09-21 13:43:23.832438+05:30,2026-09-21 13:43:23.832438+05:30
257,9949,496.00,36,675,2026-09-21 13:43:23.832438+05:30,2026-09-21 13:43:23.832438+05:30
258,9720,1856.00,36,676,2026-09-21 13:43:23.858884+05:30,2026-09-21 13:43:23.858884+05:30
258,9721,464.00,36,677,2026-09-21 13:43:23.858884+05:30,2026-09-21 13:43:23.858884+05:30
