guardian_id,student_id,relation,is_primary,school_id,id,created_at,updated_at
125,200,father,True,36,131,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
125,201,father,True,36,132,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
126,202,father,True,36,133,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
126,203,father,True,36,134,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
127,204,father,True,36,135,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
128,205,father,True,36,136,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
129,206,father,True,36,137,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
130,207,father,True,36,138,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
131,208,father,True,36,139,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
132,209,father,True,36,140,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
133,210,father,True,36,141,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
134,211,father,True,36,142,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
135,212,father,True,36,143,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
136,213,father,True,36,144,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
137,214,father,True,36,145,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
138,215,father,True,36,146,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
139,216,father,True,36,147,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
140,217,father,True,36,148,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
141,218,father,True,36,149,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
142,219,father,True,36,150,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
143,220,father,True,36,151,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
144,221,father,True,36,152,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
145,222,father,True,36,153,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
146,223,father,True,36,154,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
147,224,father,True,36,155,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
148,225,father,True,36,156,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
149,226,father,True,36,157,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
150,227,father,True,36,158,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
151,228,father,True,36,159,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
152,229,father,True,36,160,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
153,230,father,True,36,161,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
154,231,father,True,36,162,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
155,232,father,True,36,163,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
156,233,father,True,36,164,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
157,234,father,True,36,165,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
158,235,father,True,36,166,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
159,236,father,True,36,167,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
160,237,father,True,36,168,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
161,238,father,True,36,169,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
162,239,father,True,36,170,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
163,240,father,True,36,171,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
164,241,father,True,36,172,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
165,242,father,True,36,173,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
166,243,father,True,36,174,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
167,244,father,True,36,175,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
168,245,father,True,36,176,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
