role_id,permission_id,school_id,id,created_at,updated_at
44,230,36,1031,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,196,36,1032,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,251,36,1033,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,256,36,1034,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,214,36,1035,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,245,36,1036,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,204,36,1037,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,263,36,1038,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,192,36,1039,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,272,36,1040,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,243,36,1041,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,250,36,1042,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,253,36,1043,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,193,36,1044,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,198,36,1045,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,236,36,1046,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,246,36,1047,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,225,36,1048,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,205,36,1049,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,202,36,1050,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,247,36,1051,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,261,36,1052,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,215,36,1053,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,216,36,1054,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
44,212,36,1055,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
